AM,year,numerator_1m,denominator_1m,coef_1m_year,numerator_2m,denominator_2m,coef_2m_year
Васильев Артем Александрович,2023,6119964.430000001,11832147.79,0.5172319124658263,482441.58,5818845.4,0.08291019039619096
Иванова Мария Сергеевна,2023,1660095.55,4727657.16,0.3511455026912315,0.0,2503864.75,0.0
Кузнецов Михаил Иванович,2023,470182.98,982724.44,0.4784484448153136,0.0,167675.0,0.0
Михайлов Андрей Сергеевич,2023,2235422.29,3361833.59,0.6649413869411662,0.0,1056004.68,0.0
Петрова Анна Дмитриевна,2023,109442.52,98492.0,1.1111818218738578,0.0,0.0,
Попова Екатерина Николаевна,2023,1722850.8,4110598.08,0.4191241192814453,78040.0,2363545.26,0.03301819572517939
Смирнова Ольга Владимировна,2023,2073563.5,2951204.59,0.7026159782436501,203825.0,803500.8,0.2536711848948999
Соколова Анастасия Викторовна,2023,3974267.97,6862934.339999999,0.5790916498845595,169725.0,2876881.74,0.05899616853906549
Федорова Марина Васильевна,2023,0.0,0.0,,0.0,0.0,
без А/М,2023,0.0,0.0,,0.0,0.0,
