id,AM,completion_month_ts,completion_month,last_month_shipment,ship_t1,ship_t2,excluded_stop_end,used_prev_month_for_last
42,Васильев Артем Александрович,2022-11-01,Ноябрь 2022,36220.0,0.0,0.0,False,False
453,Васильев Артем Александрович,2022-11-01,Ноябрь 2022,0.0,39245.0,44320.0,False,False
548,Михайлов Андрей Сергеевич,2022-11-01,Ноябрь 2022,674000.0,674000.0,674000.0,False,False
87,Соколова Анастасия Викторовна,2022-11-01,Ноябрь 2022,70050.0,0.0,73380.0,False,False
429,Соколова Анастасия Викторовна,2022-11-01,Ноябрь 2022,30280.0,35580.0,35830.0,False,False
600,Васильев Артем Александрович,2022-11-01,Ноябрь 2022,281417.0,175100.0,267220.0,False,False
657,Васильев Артем Александрович,2022-11-01,Ноябрь 2022,0.0,0.0,0.0,True,False
594,Васильев Артем Александрович,2022-11-01,Ноябрь 2022,0.0,0.0,0.0,True,False
665,Васильев Артем Александрович,2022-11-01,Ноябрь 2022,10000.0,0.0,0.0,False,False
586,Иванова Мария Сергеевна,2022-11-01,Ноябрь 2022,52240.0,0.0,0.0,False,False
637,Соколова Анастасия Викторовна,2022-11-01,Ноябрь 2022,38045.0,0.0,0.0,False,False
419,Михайлов Андрей Сергеевич,2022-11-01,Ноябрь 2022,0.0,0.0,0.0,False,False
578,Попова Екатерина Николаевна,2022-11-01,Ноябрь 2022,82800.0,0.0,0.0,False,False
579,Васильев Артем Александрович,2022-11-01,Ноябрь 2022,0.0,0.0,0.0,False,False
671,Соколова Анастасия Викторовна,2022-11-01,Ноябрь 2022,28000.0,105805.0,108230.0,False,False
633,Васильев Артем Александрович,2022-11-01,Ноябрь 2022,40200.0,40200.0,40200.0,False,False
645,Соколова Анастасия Викторовна,2022-11-01,Ноябрь 2022,58060.0,46135.0,0.0,False,False
369,Васильев Артем Александрович,2022-11-01,Ноябрь 2022,42600.0,7450.0,0.0,False,False
547,Михайлов Андрей Сергеевич,2022-11-01,Ноябрь 2022,144180.0,104660.0,226420.0,False,False
592,Васильев Артем Александрович,2022-11-01,Ноябрь 2022,104642.0,0.0,0.0,False,False
666,Васильев Артем Александрович,2022-11-01,Ноябрь 2022,110000.0,0.0,0.0,False,False
620,Васильев Артем Александрович,2022-11-01,Ноябрь 2022,0.0,0.0,0.0,False,False
301,Попова Екатерина Николаевна,2022-11-01,Ноябрь 2022,55220.0,40830.0,40830.0,False,False
704,Михайлов Андрей Сергеевич,2022-11-01,Ноябрь 2022,41025.0,0.0,0.0,False,False
15,Иванова Мария Сергеевна,2022-12-01,Декабрь 2022,439280.0,102433.75,102433.75,False,False
16,Иванова Мария Сергеевна,2022-12-01,Декабрь 2022,0.0,0.0,0.0,False,False
379,Иванова Мария Сергеевна,2022-12-01,Декабрь 2022,55195.0,0.0,0.0,False,False
31,Васильев Артем Александрович,2022-12-01,Декабрь 2022,55100.0,0.0,44775.0,False,False
572,Васильев Артем Александрович,2022-12-01,Декабрь 2022,0.0,0.0,0.0,True,False
573,Васильев Артем Александрович,2022-12-01,Декабрь 2022,0.0,0.0,0.0,True,False
574,Васильев Артем Александрович,2022-12-01,Декабрь 2022,0.0,0.0,0.0,True,False
575,Васильев Артем Александрович,2022-12-01,Декабрь 2022,0.0,0.0,0.0,True,False
576,Васильев Артем Александрович,2022-12-01,Декабрь 2022,0.0,0.0,0.0,True,False
448,Соколова Анастасия Викторовна,2022-12-01,Декабрь 2022,137562.5,83901.0,135283.0,False,False
492,Смирнова Ольга Владимировна,2022-12-01,Декабрь 2022,57615.0,61925.0,62615.0,False,False
597,Михайлов Андрей Сергеевич,2022-12-01,Декабрь 2022,210015.21,201944.09,201944.09,False,False
708,Васильев Артем Александрович,2022-12-01,Декабрь 2022,501895.0,660475.0,752515.0,False,False
719,Васильев Артем Александрович,2022-12-01,Декабрь 2022,602370.0,0.0,0.0,False,False
39,Иванова Мария Сергеевна,2022-12-01,Декабрь 2022,137700.0,149206.5,149206.5,False,False
328,Иванова Мария Сергеевна,2022-12-01,Декабрь 2022,110700.0,0.0,0.0,False,False
716,Соколова Анастасия Викторовна,2022-12-01,Декабрь 2022,20820.0,0.0,0.0,False,False
613,Васильев Артем Александрович,2022-12-01,Декабрь 2022,0.0,0.0,0.0,True,False
615,Васильев Артем Александрович,2022-12-01,Декабрь 2022,0.0,0.0,0.0,True,False
617,Васильев Артем Александрович,2022-12-01,Декабрь 2022,0.0,0.0,0.0,True,False
643,Васильев Артем Александрович,2022-12-01,Декабрь 2022,0.0,0.0,0.0,True,False
45,Попова Екатерина Николаевна,2022-12-01,Декабрь 2022,47400.0,49130.0,64475.0,False,False
318,Попова Екатерина Николаевна,2022-12-01,Декабрь 2022,20590.0,0.0,0.0,False,False
46,Васильев Артем Александрович,2022-12-01,Декабрь 2022,37939.5,39838.5,39298.5,False,False
49,Васильев Артем Александрович,2022-12-01,Декабрь 2022,85842.0,83358.0,83358.0,False,False
603,Михайлов Андрей Сергеевич,2022-12-01,Декабрь 2022,0.0,0.0,0.0,False,False
441,Михайлов Андрей Сергеевич,2022-12-01,Декабрь 2022,83400.0,79820.0,87680.0,False,False
461,Иванова Мария Сергеевна,2022-12-01,Декабрь 2022,130410.0,0.0,0.0,False,False
717,Попова Екатерина Николаевна,2022-12-01,Декабрь 2022,34100.0,0.0,0.0,False,False
112,Иванова Мария Сергеевна,2022-12-01,Декабрь 2022,194050.0,125000.0,222000.0,False,False
630,Смирнова Ольга Владимировна,2022-12-01,Декабрь 2022,54165.0,49640.0,47085.0,False,False
154,Попова Екатерина Николаевна,2022-12-01,Декабрь 2022,57545.0,57545.0,57545.0,False,False
418,Михайлов Андрей Сергеевич,2022-12-01,Декабрь 2022,0.0,0.0,0.0,True,False
456,Михайлов Андрей Сергеевич,2022-12-01,Декабрь 2022,0.0,0.0,0.0,True,False
457,Михайлов Андрей Сергеевич,2022-12-01,Декабрь 2022,0.0,0.0,0.0,True,False
454,Михайлов Андрей Сергеевич,2022-12-01,Декабрь 2022,92140.0,0.0,0.0,False,False
455,Михайлов Андрей Сергеевич,2022-12-01,Декабрь 2022,55000.0,0.0,0.0,False,False
693,Попова Екатерина Николаевна,2022-12-01,Декабрь 2022,82435.0,0.0,0.0,False,False
